id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,162067,Kiko Celeguim,PT,SP,Sim
2204088-88,2024-09-09,,178929,Diego Garcia,REPUBLICANOS,PR,Sim
2204088-88,2024-09-09,,220555,Daiana Santos,PCdoB,RS,Sim
2204088-88,2024-09-09,,214694,Jorge Goetten,REPUBLICANOS,SC,Sim
2204088-88,2024-09-09,,220588,Roberto Duarte,REPUBLICANOS,AC,Sim
2204088-88,2024-09-09,,178858,Mário Negromonte Jr.,PP,BA,Sim
2204088-88,2024-09-09,,220648,Marangoni,UNIÃO,SP,Sim
2204088-88,2024-09-09,,143632,Domingos Neto,PSD,CE,Sim
2204088-88,2024-09-09,,220684,Tião Medeiros,PP,PR,Sim
2204088-88,2024-09-09,,220707,Amanda Gentil,PP,MA,Sim
2204088-88,2024-09-09,,204508,Igor Timo,PODE,MG,Sim
2204088-88,2024-09-09,,220528,Dr. Victor Linhalis,PODE,ES,Sim
2204088-88,2024-09-09,,220529,Gilson Daniel,PODE,ES,Sim
2204088-88,2024-09-09,,220531,Gilvan Maximo,REPUBLICANOS,DF,Sim
2204088-88,2024-09-09,,220572,Marussa Boldrin,MDB,GO,Sim
2204088-88,2024-09-09,,220640,Juliana Cardoso,PT,SP,Sim
2204088-88,2024-09-09,,164360,Carmen Zanotto,CIDADANIA,SC,Sim
2204088-88,2024-09-09,,178987,Orlando Silva,PCdoB,SP,Sim
2204088-88,2024-09-09,,220553,Denise Pessôa,PT,RS,Sim
2204088-88,2024-09-09,,220554,Alexandre Lindenmeyer,PT,RS,Sim
2204088-88,2024-09-09,,220700,Florentino Neto,PT,PI,Sim
2204088-88,2024-09-09,,228797,Júlio Oliveira,PP,TO,Sim
